;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferreira do Zêzere; 137;0;0;1;0;0;6;0;0;0;0;0;1;2;4;37;4;0;2;3;0;0;3;2;0;15;23;0;0;0;1;0;1;2;0;0;2;0;3;3;4;0;0;18;0;0;0;0;0;0
Figueira da Foz;1 007;1;4;3;2;0;58;0;0;0;4;5;15;11;18;527;18;2;6;14;1;0;15;0;1;90;97;1;0;4;16;0;11;14;2;1;9;0;23;3;8;3;1;7;0;2;0;2;1;7
Figueira de Castelo Rodrigo; 62;0;0;0;0;0;2;0;0;1;0;2;1;1;6;7;12;0;0;1;0;0;13;1;1;0;5;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;3
Figueiró dos Vinhos; 58;1;0;0;0;0;2;0;0;0;0;0;0;1;5;25;0;0;2;1;0;0;0;1;0;9;5;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
Fornos de Algodres; 59;0;0;0;0;0;2;0;0;0;0;0;0;0;3;12;10;0;0;0;0;0;5;2;1;0;3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;1;15
Freixo de Espada à Cinta; 33;0;0;0;0;0;2;0;0;0;1;14;0;0;1;4;4;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Fronteira; 56;1;0;0;0;0;0;0;0;3;0;0;0;0;1;3;2;2;12;1;0;0;0;1;0;0;13;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;0;0
Funchal;1 939;1;0;7;1;4;22;1;0;13;31;5;3;43;11;130;15;1;17;23;3;850;7;5;0;20;458;19;0;2;39;0;4;6;3;3;1;3;74;23;7;0;12;6;3;8;5;18;19;13
Fundão; 440;0;0;2;0;0;10;0;0;1;6;4;3;2;115;39;120;0;9;4;0;0;23;19;0;6;57;0;0;2;4;0;0;2;0;0;5;0;2;2;0;0;0;2;0;0;0;0;0;1
Gavião; 26;0;0;0;0;0;1;0;0;0;0;0;0;1;3;1;1;0;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0
Góis; 45;0;0;0;0;0;0;0;0;0;0;0;1;0;0;34;0;0;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2
Golegã; 105;0;0;0;0;0;2;0;0;0;0;0;0;2;1;4;2;0;4;2;0;0;0;0;0;9;35;0;0;0;0;0;0;4;0;0;3;0;0;4;22;0;0;10;0;0;0;0;1;0
Gondomar;2 053;1;4;0;6;0;57;17;0;1;50;16;6;0;4;41;8;0;3;1;22;0;7;0;2;4;73;266;1;10;0;0;0;1;0;10;2;1;1 146;0;1;0;0;3;1;19;64;162;33;10
Gouveia; 192;0;0;0;0;0;12;0;0;0;1;8;0;0;10;51;10;0;2;2;0;0;29;1;1;5;22;1;0;0;2;0;1;0;0;0;1;0;2;2;0;3;0;0;0;0;1;1;5;19
Grândola; 185;0;0;1;0;0;0;0;0;23;0;0;0;1;2;3;1;0;25;16;0;0;0;1;0;4;70;0;0;1;1;0;0;0;1;0;3;2;1;1;5;0;20;3;0;0;0;0;0;0
Guarda;1 121;2;0;3;0;1;40;0;0;0;5;11;1;15;43;161;163;0;15;3;1;0;444;2;2;9;108;1;0;5;4;0;3;1;0;0;6;0;19;3;2;10;1;1;0;0;1;3;11;21
Guimarães;2 286;0;3;0;3;0;48;212;0;0;799;125;8;8;10;101;40;0;3;6;91;0;12;1;1;6;63;47;5;61;2;1;4;0;1;10;2;0;198;0;1;9;2;8;30;88;14;38;211;14
Horta; 231;0;0;1;0;7;13;1;0;2;3;4;0;1;3;16;4;0;5;4;0;0;0;0;1;4;84;5;0;1;3;0;1;0;30;0;2;1;15;7;0;0;3;5;0;0;2;3;0;0
Idanha-a-Nova; 115;0;0;0;0;0;1;0;0;0;0;1;0;0;29;2;16;0;0;0;0;0;2;53;0;1;4;0;0;0;0;0;1;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0
Ílhavo; 789;2;47;2;0;0;289;1;0;0;4;7;3;5;3;184;12;0;7;1;1;0;17;4;4;11;53;1;2;1;10;6;5;4;0;1;3;0;33;5;0;2;1;7;1;0;0;2;10;38
Lagoa (Algarve); 295;0;0;4;0;0;5;0;0;18;3;0;1;3;5;19;4;1;17;89;0;0;0;0;1;3;62;0;0;0;6;0;1;1;0;0;1;39;4;4;0;0;3;0;0;0;0;0;1;0
Lagoa (R.A.A.); 203;0;0;0;0;4;0;0;0;0;6;0;1;0;0;6;2;0;1;1;0;0;0;0;0;1;37;1;0;0;1;0;0;1;129;0;0;0;5;1;0;0;1;1;0;0;0;2;2;0
Lagos; 362;0;0;1;0;0;7;1;0;21;0;2;2;2;3;14;3;1;30;96;0;0;0;0;1;4;108;1;0;0;9;0;0;2;0;1;6;34;4;2;3;0;2;1;0;0;0;1;0;0
Lajes das Flores; 17;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Lajes do Pico; 62;0;0;0;0;1;1;0;0;0;3;2;2;0;2;11;1;0;1;1;0;0;0;0;0;2;19;0;0;0;0;0;0;1;8;0;0;1;1;0;0;0;1;3;0;0;0;0;0;1
Lamego; 481;0;1;1;0;0;18;0;0;0;15;18;1;1;3;87;14;0;0;0;2;0;13;3;88;2;31;7;0;12;0;1;2;0;0;0;0;0;58;0;1;0;1;1;0;1;1;7;46;45
Leiria;2 851;2;2;6;1;2;70;1;1;0;6;7;75;36;44;346;43;4;36;20;0;1;6;5;1;1 480;367;4;0;3;18;2;3;71;0;1;23;4;35;34;30;0;3;20;0;1;1;3;10;23
Lisboa;8 714;1;1;105;79;0;14;2;4;7;3;27;73;544;15;96;18;3;60;34;0;2;1;3;2;25;6 944;1;0;3;393;0;3;13;1;0;17;0;27;16;45;2;80;20;1;1;4;1;9;14
Loulé; 930;0;0;5;1;0;1;0;0;29;3;1;4;6;3;28;1;1;13;643;0;0;0;0;0;2;145;0;0;1;9;0;1;1;1;0;9;2;6;1;3;0;6;1;0;0;0;1;2;0
Loures;2 524;9;1;25;9;0;9;0;3;5;5;7;22;62;7;16;12;2;25;9;0;0;5;1;2;16;2 048;2;0;3;79;0;2;13;3;0;8;0;9;8;28;1;37;20;0;1;1;0;2;7
Lourinhã; 357;2;0;5;0;0;2;0;0;0;1;1;14;3;3;16;2;1;9;11;0;0;1;0;0;43;175;0;0;1;7;0;0;31;1;0;3;0;1;6;12;0;2;2;0;0;0;0;0;2
Lousã; 322;1;0;1;0;0;0;0;0;1;0;0;3;1;2;265;5;0;0;2;0;0;1;0;0;5;16;2;1;0;1;0;5;2;0;0;0;0;4;1;0;0;0;3;0;0;0;0;0;0
Lousada; 619;1;0;0;1;0;25;5;0;0;38;58;1;0;2;69;9;0;1;1;80;0;5;0;5;4;17;35;0;19;0;1;0;2;0;1;1;0;160;0;0;1;0;2;1;4;9;33;21;7
Mação; 100;2;0;0;0;0;3;0;0;0;0;0;0;4;13;13;2;0;1;0;0;0;0;2;0;9;29;0;0;0;1;0;0;4;0;0;2;0;0;3;8;0;0;4;0;0;0;0;0;0
Macedo de Cavaleiros; 265;0;0;0;0;0;4;0;0;0;9;109;1;2;2;28;9;0;1;0;0;0;10;0;1;1;10;1;0;21;0;0;1;0;0;0;2;0;23;0;0;2;1;1;0;0;2;0;24;0
Machico; 319;0;0;1;0;1;9;1;0;5;6;1;1;0;7;26;3;0;3;1;1;137;0;0;2;6;51;1;0;0;4;0;1;4;3;0;1;1;26;3;0;0;4;2;0;0;0;2;2;3
Madalena; 89;0;0;0;0;1;6;0;0;0;0;0;0;0;0;22;0;0;4;5;0;0;0;0;0;0;23;0;0;0;2;0;0;0;9;0;2;0;2;0;2;0;3;5;0;0;0;3;0;0
Mafra;1 225;0;0;19;3;0;6;0;0;4;2;2;17;53;6;20;11;3;22;16;0;0;2;0;0;36;875;0;0;0;49;1;0;21;1;0;4;0;2;17;15;2;9;3;0;0;0;1;3;0
Maia;1 971;0;0;0;3;0;23;24;0;1;51;14;5;4;3;29;6;0;1;4;17;0;2;0;1;2;65;280;3;7;2;2;0;2;1;12;0;0;1 143;0;1;1;1;1;1;10;78;124;37;10
Mangualde; 295;0;0;0;0;0;11;1;0;0;2;2;2;1;6;68;24;0;0;1;1;0;21;2;1;2;24;0;0;1;3;1;1;0;0;0;0;0;7;0;0;1;0;2;0;0;0;0;2;108
Manteigas; 47;0;0;0;0;0;0;0;0;0;0;1;0;0;5;10;13;0;1;0;0;0;3;1;1;1;6;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
Marco de Canaveses; 797;0;3;0;0;0;33;4;0;0;31;92;2;0;1;92;6;1;2;0;33;0;2;0;5;0;16;41;1;28;0;1;2;0;1;0;0;0;182;0;0;0;2;0;1;2;7;14;155;37
Marinha Grande; 717;1;1;5;1;0;17;0;0;2;4;2;24;11;7;84;10;1;7;5;0;0;6;2;1;368;84;0;0;4;10;1;2;14;0;0;7;0;2;11;9;0;3;3;0;1;1;2;2;2
Marvão; 52;0;0;0;0;0;0;0;0;1;0;0;0;0;4;4;4;3;4;0;0;0;0;0;0;1;8;0;0;0;2;0;0;0;0;0;19;0;0;0;0;0;2;0;0;0;0;0;0;0
Matosinhos;2 024;1;4;1;3;0;31;8;0;4;34;20;3;4;4;24;8;1;0;6;14;0;3;0;1;2;126;253;0;1;2;1;0;0;0;6;0;0;1 193;1;0;2;0;2;1;11;89;134;24;2
Mealhada; 248;0;3;0;0;0;21;0;0;0;0;0;5;0;0;188;1;0;2;0;0;0;4;0;0;7;5;1;0;0;3;0;0;2;0;0;0;0;2;1;1;0;0;0;0;0;0;0;2;0
Mêda; 75;0;0;0;1;0;4;0;0;0;0;5;0;0;3;13;9;0;0;0;0;0;20;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;7
Melgaço; 89;0;1;0;0;0;4;3;0;0;12;2;1;0;2;11;1;0;1;0;2;0;0;0;0;2;6;0;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;15;0;1;9;1
Mértola; 84;0;0;0;0;0;0;0;0;20;0;0;0;0;0;3;0;0;6;22;0;0;0;0;0;0;28;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Mesão Frio; 44;0;1;0;0;0;4;0;0;0;0;12;0;0;0;3;0;0;0;0;0;0;1;0;4;0;2;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;4
Mira; 192;0;3;1;0;0;28;0;0;0;0;1;3;0;4;108;2;1;0;3;0;0;5;0;0;7;11;1;0;0;1;0;0;4;0;1;0;0;5;0;0;0;0;0;0;0;0;1;0;2
Miranda do Corvo; 252;1;0;0;0;0;2;0;0;0;0;0;2;0;3;227;1;1;0;0;0;0;1;0;0;1;7;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Miranda do Douro; 87;0;0;0;0;0;0;0;0;0;0;43;0;0;0;6;0;0;1;0;1;0;2;0;0;1;4;5;0;8;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;5;0
Mirandela; 533;0;1;0;0;0;13;1;0;0;7;136;1;0;4;36;12;0;2;1;0;0;7;0;0;1;13;2;0;187;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;1;0;10;61;3
Mogadouro; 110;0;1;0;0;0;0;0;0;0;1;54;0;0;2;12;1;0;1;1;0;0;3;1;0;1;1;0;0;4;1;0;0;0;0;0;0;0;7;1;0;0;0;0;0;1;0;2;14;1
Moimenta da Beira; 169;0;0;0;0;0;12;0;0;0;2;2;0;2;2;45;10;0;0;1;1;0;5;0;14;2;11;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;1;1;2;12;37
Moita; 868;1;0;9;3;0;5;2;75;7;1;2;6;10;4;3;3;1;31;7;2;0;3;0;0;1;370;0;0;0;15;0;0;2;0;0;5;1;0;1;3;0;288;5;0;0;1;0;0;1
Monção; 215;0;0;0;0;0;9;6;0;0;24;10;0;1;2;29;4;0;0;1;2;0;2;0;1;1;14;9;5;2;0;0;1;0;0;2;0;0;23;0;0;0;0;0;13;30;0;6;16;2
Monchique; 55;0;0;0;0;0;0;0;0;6;1;0;1;0;0;3;0;0;7;10;0;0;0;1;0;1;19;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
Mondim de Basto; 106;0;0;0;0;0;2;0;0;0;8;16;0;0;1;12;2;0;0;0;3;0;1;0;2;1;4;1;0;6;0;1;0;0;0;0;0;0;9;0;1;0;0;0;0;2;1;3;29;1
Monforte; 41;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;8;0;0;0;1;0;0;1;11;0;0;0;1;0;0;0;0;0;14;0;0;0;0;0;1;0;0;0;0;0;0;0
Montalegre; 99;0;0;0;0;0;1;4;0;1;19;16;0;1;0;14;0;0;0;1;0;0;0;0;0;0;4;1;0;10;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;21;1
Montemor-o-Novo; 233;0;0;0;2;0;0;0;2;5;0;0;4;3;2;5;2;2;91;6;0;0;0;0;0;3;75;0;0;0;1;0;0;0;0;0;3;0;0;7;11;0;9;0;0;0;0;0;0;0
Montemor-o-Velho; 432;0;0;0;0;0;8;0;0;0;1;2;5;1;3;346;6;0;0;1;0;0;5;0;0;15;18;0;0;0;1;2;5;3;0;0;1;0;1;0;0;0;1;4;0;0;0;1;0;2
Montijo; 642;0;0;12;1;0;0;0;1;10;1;2;3;13;2;2;0;0;39;4;0;0;0;0;0;4;383;0;0;0;10;0;1;1;0;0;5;1;3;2;5;0;134;3;0;0;0;0;0;0
Mora; 62;0;0;1;0;0;0;0;0;1;0;0;0;0;2;2;0;0;23;1;0;0;1;0;0;1;20;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;2;1;0;0;0;0;1;0
Mortágua; 137;0;0;0;0;0;7;0;0;0;2;2;0;0;0;67;4;0;4;0;0;1;1;0;0;3;3;2;0;0;2;0;1;0;0;0;0;0;8;1;0;1;0;1;0;0;0;1;0;26
Moura; 183;0;0;0;0;0;0;0;0;56;0;1;1;5;1;2;2;2;30;18;0;0;0;1;0;0;37;0;0;0;1;0;0;0;0;0;7;3;1;1;6;0;8;0;0;0;0;0;0;0
Mourão; 41;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;12;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0
Murça; 71;0;0;0;0;0;1;1;0;0;1;20;0;0;0;4;2;0;0;0;0;0;1;0;1;0;0;0;0;7;1;0;0;0;0;0;0;1;5;0;0;1;0;0;1;0;0;0;24;0
Murtosa; 100;1;4;0;0;0;23;0;0;1;1;0;0;1;2;23;5;0;1;0;0;0;6;0;0;2;4;0;0;0;2;1;3;1;0;1;0;0;7;0;2;0;1;0;0;0;2;0;1;5
Nazaré; 231;1;1;0;0;0;7;0;0;0;1;0;12;0;5;27;1;0;4;2;0;0;0;0;0;70;55;1;0;0;5;0;1;11;0;0;3;0;3;8;11;0;0;1;0;0;0;0;0;1
Nelas; 231;0;0;1;0;0;14;0;0;1;3;0;0;2;4;64;9;0;2;0;0;0;9;0;4;4;22;0;0;0;1;0;0;1;0;0;1;0;6;3;1;2;0;0;0;0;0;0;2;75
Nisa; 83;0;0;1;0;0;1;0;0;0;0;0;0;0;13;2;4;1;14;1;0;0;4;1;0;1;13;0;0;0;1;0;0;0;0;0;22;0;0;2;0;0;0;0;0;0;0;0;0;2
Nordeste; 57;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;40;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0
Óbidos; 190;1;0;0;0;0;3;0;0;1;0;0;21;1;5;16;4;0;1;1;0;0;0;0;1;46;54;0;0;1;4;0;0;8;0;0;0;0;0;6;10;0;1;2;0;0;0;0;1;2
Odemira; 313;0;0;1;0;0;3;0;0;48;0;2;3;4;4;14;3;1;18;69;1;0;0;1;0;1;88;0;0;0;4;0;1;2;2;0;2;8;2;5;5;0;15;2;0;0;0;0;3;1
Odivelas;1 874;0;1;14;7;0;6;1;6;0;4;6;17;59;10;8;6;0;11;13;0;2;2;0;0;6;1 539;1;0;1;58;0;2;11;0;0;8;0;1;2;22;2;39;1;0;0;0;0;3;5
Oeiras;2 754;0;0;35;19;0;6;1;3;6;2;6;25;270;12;16;9;2;21;23;0;1;4;2;1;6;1 933;0;0;1;270;0;0;4;3;0;7;2;9;5;12;0;27;6;0;0;1;0;1;3
Oleiros; 67;0;0;0;0;0;0;0;0;0;0;1;0;0;24;20;6;0;0;0;0;0;1;4;0;3;6;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Olhão; 633;0;0;2;1;0;3;0;0;20;0;0;2;1;0;21;5;2;8;464;0;0;0;0;0;1;85;2;0;2;9;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
Oliveira de Azeméis; 781;1;15;0;1;0;166;1;0;1;10;9;6;2;5;205;23;0;2;4;6;0;12;1;2;11;33;23;0;1;2;18;2;2;0;1;0;0;117;0;0;4;1;2;1;1;0;20;30;40
Oliveira de Frades; 147;0;3;1;0;0;14;0;0;0;0;1;0;1;1;37;4;0;1;1;0;0;19;0;1;4;3;1;0;0;1;1;0;2;0;1;0;0;3;0;0;1;0;0;0;0;0;2;3;41
Oliveira do Bairro; 375;0;27;1;0;0;76;2;0;0;2;2;2;0;8;129;9;0;1;0;1;0;10;2;3;15;14;2;0;1;1;1;6;2;0;0;1;0;15;0;1;1;0;3;0;1;0;3;7;26
Oliveira do Hospital; 352;0;0;0;1;0;6;1;0;0;0;5;1;0;9;171;14;1;3;0;0;0;17;1;0;10;25;0;0;0;0;0;53;2;0;0;0;0;6;3;1;5;0;1;0;0;0;0;5;11
Ourém; 867;3;3;5;1;0;35;0;0;1;2;3;27;10;23;150;18;1;14;9;1;0;2;2;0;261;163;0;0;0;12;0;1;17;2;0;14;1;13;13;22;0;1;25;0;0;0;0;4;8
Ourique; 61;0;0;0;0;0;0;0;0;18;0;0;0;0;1;1;0;0;3;17;0;0;0;0;0;0;19;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ovar; 675;1;20;1;2;1;193;1;0;0;19;7;1;3;6;87;18;0;0;0;2;0;5;0;1;9;27;22;0;1;2;4;0;1;0;1;1;0;170;2;1;1;0;2;0;0;9;17;15;22
Paços de Ferreira; 745;1;0;0;0;0;30;9;0;1;52;44;2;0;5;78;8;0;3;0;59;0;6;0;5;2;38;54;1;19;1;0;1;0;0;0;0;0;207;0;1;1;1;0;2;9;13;26;62;4
Palmela;1 016;1;0;20;9;0;2;0;9;5;3;2;7;15;2;16;2;0;54;15;0;0;0;0;1;3;435;0;0;1;21;0;0;3;0;0;4;1;2;8;2;0;365;6;0;0;0;0;2;0
Pampilhosa da Serra; 33;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;4;0;0;0;0;0;2;2;0;3;4;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
Paredes;1 003;0;1;0;0;0;29;13;0;0;19;62;3;1;4;37;12;0;2;1;75;0;7;2;1;8;38;114;0;16;0;2;4;0;0;3;0;0;380;0;0;0;0;0;4;8;7;63;81;6
Paredes de Coura; 126;0;0;0;0;0;1;4;0;0;8;4;1;0;1;9;0;0;0;0;0;0;1;0;0;2;9;1;3;1;0;0;1;0;0;6;0;0;15;0;1;0;0;0;13;29;0;4;11;1
Pedrógão Grande; 42;0;0;0;0;0;0;0;0;0;1;0;0;0;8;18;1;0;1;1;0;0;0;0;0;4;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Penacova; 257;0;0;0;0;0;5;0;0;0;0;2;1;0;5;206;4;1;1;0;0;0;1;1;0;8;9;0;0;1;0;0;6;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3
Penafiel; 887;0;1;0;1;0;26;2;0;0;20;94;1;0;5;58;15;0;3;1;53;1;7;2;4;0;30;48;0;36;0;0;3;0;1;1;1;0;321;0;1;1;0;1;0;6;4;49;76;14
Penalva do Castelo; 118;0;0;0;0;0;11;0;0;0;0;1;0;0;6;9;5;0;0;0;0;0;8;0;2;2;8;3;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;57
Penamacor; 56;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;22;0;1;1;0;0;4;3;0;0;5;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1
Penedono; 43;0;0;0;0;0;3;0;0;0;1;2;0;0;0;9;2;0;0;0;0;0;4;2;0;0;5;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;9
Penela; 98;0;0;0;0;0;1;0;0;0;0;0;1;0;0;83;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0
Peniche; 400;3;0;1;0;1;9;0;0;0;1;0;14;2;7;39;3;1;7;3;0;0;2;0;0;61;119;0;0;0;5;0;0;88;0;0;2;1;4;9;8;0;2;7;0;0;0;0;0;1
Peso da Régua; 279;0;0;0;0;0;10;1;0;1;3;27;0;0;2;30;4;0;0;1;0;0;6;0;14;1;17;5;0;14;0;0;0;0;0;0;0;0;33;0;1;1;0;0;1;1;1;6;77;22
Pinhel; 138;0;0;0;0;0;13;0;0;0;2;2;0;0;14;23;26;0;1;1;0;0;31;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;6;5
Pombal; 953;3;2;2;0;1;48;0;0;3;4;4;23;6;27;264;26;1;12;5;1;0;10;2;1;287;94;4;1;1;12;0;5;20;0;0;2;1;19;12;11;2;2;16;0;1;1;4;3;10
Ponta Delgada;1 271;0;1;2;0;15;19;4;0;7;15;9;5;15;2;40;1;0;11;8;2;2;2;2;0;11;193;7;1;2;47;0;8;1;725;3;3;0;62;6;2;1;6;3;0;1;2;12;5;8
Ponta do Sol; 129;0;0;1;0;0;1;0;0;3;3;1;0;0;3;14;1;0;0;1;0;45;0;1;1;2;28;2;0;0;1;0;2;2;1;0;0;0;7;2;2;0;1;0;0;0;0;1;3;0
