Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2013/14 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16F1004;Batalha; 593; 1; 2; 22; 0; 0; 14; 0; 0; 2; 0; 0; 9; 1; 6; 0; 68; 19; 0; 0; 4; 0; 7; 0; 0; 1; 0; 0; 0; 0; 247; 141; 0; 0; 0; 2; 0; 0; 0; 0; 4; 0; 0; 1; 6; 0; 0; 2; 0; 10; 0; 0; 0; 9; 0; 1; 0; 0; 2; 6; 0; 0; 0; 0; 1; 0; 0; 0; 4; 1
1840205;Beja;1 372; 0; 0; 49; 0; 0; 2; 0; 1; 713; 0; 0; 2; 3; 1; 0; 27; 7; 0; 0; 105; 0; 92; 0; 0; 1; 0; 0; 0; 0; 1; 312; 0; 0; 0; 0; 0; 0; 0; 0; 18; 0; 0; 0; 0; 0; 0; 5; 4; 8; 0; 1; 0; 4; 0; 0; 8; 1; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 2; 2
16J0501;Belmonte; 174; 0; 0; 5; 0; 0; 2; 0; 0; 0; 2; 0; 2; 0; 16; 0; 14; 73; 0; 0; 1; 0; 1; 0; 0; 26; 0; 0; 4; 0; 0; 9; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 4; 0; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 6
1851405;Benavente; 611; 1; 0; 42; 2; 2; 8; 0; 0; 3; 1; 0; 1; 6; 5; 0; 13; 6; 3; 0; 21; 0; 6; 0; 0; 0; 0; 0; 0; 0; 7; 380; 0; 0; 0; 0; 0; 0; 0; 0; 17; 0; 0; 0; 3; 2; 0; 2; 2; 4; 0; 3; 0; 48; 0; 0; 12; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 4; 2
16B1005;Bombarral; 292; 0; 1; 13; 1; 0; 11; 1; 0; 1; 2; 1; 13; 2; 3; 0; 22; 2; 0; 0; 10; 0; 5; 0; 0; 0; 0; 0; 0; 0; 57; 108; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 9; 1; 0; 3; 0; 2; 0; 6; 0; 7; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 2; 5
1870703;Borba; 180; 0; 0; 14; 0; 0; 1; 0; 0; 9; 0; 0; 0; 0; 6; 0; 2; 3; 4; 0; 49; 0; 16; 0; 0; 1; 0; 0; 1; 0; 0; 52; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 17; 1; 1; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
11B1702;Boticas; 99; 0; 0; 0; 0; 0; 4; 0; 0; 0; 6; 16; 0; 0; 1; 2; 15; 2; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 11; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 30; 1
1120303;Braga;10 843; 2; 3; 15; 1; 0; 90; 819; 0; 0;5 745; 67; 12; 6; 11; 5;1 688; 58; 0; 0; 14; 29; 20; 13; 0; 15; 5; 0; 0; 0; 7; 335; 0; 0; 67; 0; 39; 18; 7; 1; 7; 3; 1; 49; 6; 2; 44; 4; 1; 987; 74; 0; 0; 0; 0; 5; 1; 0; 3; 7; 0; 0; 9; 211; 16; 1; 173; 6; 124; 17
11E0402;Bragança;1 754; 0; 0; 8; 1; 1; 39; 2; 0; 0; 72; 946; 0; 1; 1; 7; 173; 36; 0; 0; 1; 0; 3; 0; 0; 3; 0; 0; 0; 1; 4; 86; 0; 3; 4; 0; 6; 0; 35; 0; 3; 0; 0; 10; 0; 0; 0; 0; 0; 212; 0; 1; 0; 0; 0; 1; 1; 0; 2; 0; 0; 0; 0; 2; 4; 1; 0; 1; 70; 13
1190304;Cabeceiras de Basto; 576; 0; 0; 0; 0; 0; 8; 5; 0; 0; 88; 40; 1; 0; 1; 3; 160; 5; 0; 0; 0; 28; 3; 8; 0; 2; 0; 0; 0; 0; 7; 20; 0; 0; 3; 0; 3; 0; 1; 0; 0; 1; 0; 8; 0; 0; 0; 0; 0; 94; 5; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 6; 1; 0; 5; 1; 66; 2
16B1104;Cadaval; 257; 0; 0; 10; 1; 0; 4; 0; 0; 0; 0; 0; 9; 0; 1; 0; 14; 1; 0; 0; 9; 0; 4; 0; 0; 1; 0; 0; 0; 0; 37; 111; 0; 0; 0; 0; 0; 0; 1; 1; 6; 0; 0; 0; 20; 0; 0; 0; 0; 2; 0; 3; 0; 13; 0; 0; 1; 0; 1; 1; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0
16B1006;Caldas da Rainha;1 718; 1; 1; 53; 1; 0; 29; 0; 0; 3; 3; 3; 215; 17; 11; 0; 101; 28; 1; 0; 26; 0; 13; 0; 1; 6; 0; 0; 0; 0; 287; 672; 0; 0; 2; 1; 0; 0; 2; 1; 33; 1; 0; 1; 70; 1; 1; 5; 0; 24; 0; 28; 0; 45; 0; 2; 5; 0; 2; 11; 1; 5; 0; 0; 0; 0; 1; 0; 4; 0
2004501;Calheta (R.A.A.); 99; 1; 0; 1; 0; 9; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 1; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 0; 0; 1; 37; 0; 0; 0; 0; 1; 0; 0; 0; 2; 0; 0; 0; 0; 13; 0; 1; 0; 5; 0; 1; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
3003101;Calheta (R.A.M.); 203; 0; 0; 1; 2; 0; 0; 0; 0; 0; 7; 2; 0; 0; 1; 0; 16; 2; 0; 0; 5; 0; 13; 0; 92; 0; 0; 0; 0; 0; 3; 17; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 0; 31; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0
3003102;Câmara de Lobos; 697; 0; 0; 7; 0; 1; 15; 0; 0; 0; 16; 7; 1; 1; 6; 0; 42; 13; 2; 0; 10; 0; 14; 0; 340; 2; 0; 0; 0; 2; 9; 116; 0; 0; 0; 0; 0; 0; 0; 2; 5; 0; 0; 0; 1; 3; 0; 3; 0; 51; 0; 2; 0; 3; 0; 0; 5; 0; 0; 1; 0; 0; 0; 0; 3; 0; 1; 2; 11; 0
1111602;Caminha; 572; 0; 0; 5; 0; 1; 21; 15; 0; 0; 63; 7; 4; 0; 1; 0; 37; 9; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 24; 0; 0; 13; 0; 13; 4; 1; 0; 2; 2; 1; 3; 4; 0; 5; 0; 0; 133; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 16; 139; 3; 12; 4; 0; 21; 1
1861204;Campo Maior; 196; 1; 0; 6; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 10; 0; 12; 5; 8; 0; 33; 0; 3; 0; 0; 0; 0; 0; 1; 0; 3; 45; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 1; 0; 0; 0; 0; 46; 0; 2; 0; 0; 0; 4; 0; 0; 4; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16E0602;Cantanhede;1 128; 0; 12; 7; 0; 0; 105; 0; 0; 0; 8; 2; 5; 6; 5; 0; 725; 19; 0; 0; 1; 0; 5; 0; 0; 13; 0; 0; 0; 0; 35; 64; 0; 0; 3; 0; 1; 1; 0; 0; 4; 2; 11; 3; 7; 1; 0; 0; 0; 50; 0; 2; 0; 2; 0; 3; 1; 0; 0; 5; 0; 0; 0; 0; 1; 0; 0; 0; 4; 15
11D0403;Carrazeda de Ansiães; 255; 0; 1; 0; 0; 0; 8; 0; 0; 0; 7; 46; 0; 0; 10; 0; 113; 4; 0; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 4; 0; 0; 2; 0; 1; 0; 16; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 16; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 18; 2
16G1802;Carregal do Sal; 184; 0; 0; 2; 0; 0; 12; 1; 0; 0; 3; 2; 1; 1; 0; 0; 67; 11; 0; 0; 1; 0; 1; 0; 0; 3; 0; 0; 0; 0; 1; 12; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 4; 0; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 45
1851406;Cartaxo; 626; 2; 0; 27; 1; 0; 10; 0; 0; 1; 1; 1; 5; 5; 9; 0; 25; 5; 1; 0; 26; 0; 8; 0; 0; 3; 0; 0; 0; 0; 11; 286; 0; 0; 0; 0; 0; 0; 1; 1; 8; 0; 0; 0; 13; 0; 0; 1; 1; 5; 0; 6; 0; 146; 0; 0; 1; 0; 1; 12; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0
1701105;Cascais;7 782; 1; 0; 368; 20; 2; 15; 1; 5; 8; 7; 4; 28; 431; 7; 0; 44; 16; 4; 0; 39; 0; 22; 0; 0; 4; 2; 0; 1; 1; 18;6 019; 0; 0; 0; 0; 2; 0; 3; 18; 575; 0; 0; 2; 9; 2; 0; 6; 2; 35; 0; 5; 0; 16; 1; 0; 20; 1; 2; 7; 0; 0; 0; 1; 0; 0; 0; 0; 6; 2
16F1007;Castanheira de Pêra; 66; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 38; 4; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 7; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
16H0502;Castelo Branco;2 274; 3; 0; 45; 0; 0; 26; 0; 0; 1; 9; 2; 4; 8;1 014; 0; 175; 242; 1; 0; 29; 0; 9; 0; 1; 30; 0; 0; 136; 0; 20; 429; 0; 0; 1; 0; 1; 0; 0; 1; 15; 0; 1; 1; 5; 0; 0; 9; 0; 30; 0; 3; 0; 1; 0; 2; 2; 1; 1; 4; 1; 0; 0; 0; 0; 0; 0; 0; 0; 11
11C0106;Castelo de Paiva; 376; 1; 1; 0; 0; 0; 52; 0; 0; 0; 11; 14; 0; 0; 3; 0; 17; 0; 0; 0; 1; 0; 0; 6; 0; 1; 0; 0; 0; 2; 0; 13; 0; 0; 10; 0; 18; 0; 1; 1; 1; 1; 0; 14; 1; 0; 1; 0; 0; 151; 0; 0; 4; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 5; 0; 0; 5; 22; 18
1861205;Castelo de Vide; 76; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 2; 0; 0; 0; 9; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 31; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 23; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16G1803;Castro Daire; 371; 0; 1; 2; 0; 0; 25; 0; 0; 2; 4; 9; 0; 3; 1; 0; 80; 18; 1; 0; 0; 0; 2; 0; 0; 7; 0; 0; 0; 13; 2; 39; 0; 0; 1; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 21; 0; 0; 0; 0; 0; 1; 2; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 2; 24; 104
1500804;Castro Marim; 122; 0; 0; 3; 0; 0; 0; 0; 0; 11; 1; 0; 0; 0; 0; 0; 6; 3; 1; 0; 8; 0; 41; 0; 0; 0; 0; 0; 1; 0; 2; 37; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1840206;Castro Verde; 228; 0; 0; 13; 0; 0; 1; 0; 0; 59; 1; 0; 0; 0; 1; 0; 11; 1; 0; 0; 21; 0; 46; 0; 0; 0; 0; 0; 0; 0; 0; 54; 2; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 4; 4; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
16J0903;Celorico da Beira; 164; 0; 0; 1; 0; 0; 6; 0; 0; 0; 2; 2; 0; 0; 9; 0; 37; 31; 0; 0; 1; 0; 0; 0; 0; 42; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 10
11C0305;Celorico de Basto; 855; 0; 0; 2; 0; 0; 8; 1; 0; 0; 56; 61; 0; 1; 1; 4; 278; 10; 0; 0; 1; 11; 2; 26; 0; 2; 1; 0; 0; 1; 1; 18; 0; 0; 6; 0; 9; 0; 8; 0; 1; 0; 0; 2; 2; 0; 2; 1; 0; 117; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2; 4; 3; 0; 5; 1; 206; 0
1851407;Chamusca; 173; 3; 1; 6; 0; 1; 4; 0; 0; 1; 0; 0; 0; 0; 4; 0; 19; 2; 0; 0; 12; 0; 2; 0; 0; 2; 0; 0; 0; 0; 5; 48; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 0; 4; 0; 3; 0; 32; 0; 0; 1; 0; 0; 16; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1
11B1703;Chaves;1 275; 1; 3; 6; 1; 0; 57; 2; 0; 1; 106; 144; 0; 1; 1; 104; 144; 47; 0; 0; 4; 0; 6; 1; 0; 6; 1; 0; 0; 2; 4; 60; 0; 0; 13; 0; 11; 0; 27; 0; 0; 0; 1; 15; 0; 0; 0; 1; 0; 301; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 7; 4; 0; 0; 3; 171; 15
11C1804;Cinfães; 313; 1; 1; 1; 0; 0; 11; 2; 0; 0; 8; 11; 0; 0; 4; 0; 16; 11; 0; 0; 1; 0; 1; 3; 0; 2; 0; 0; 1; 7; 0; 17; 0; 0; 7; 0; 17; 0; 0; 0; 0; 1; 0; 12; 0; 0; 0; 0; 0; 128; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 17; 27
16E0603;Coimbra;8 403; 2; 7; 17; 6; 1; 132; 0; 0; 0; 29; 4; 16; 11; 15; 1;7 110; 62; 3; 0; 21; 0; 18; 0; 1; 8; 1; 0; 1; 0; 33; 511; 0; 0; 2; 0; 9; 0; 3; 0; 19; 2; 19; 6; 8; 8; 1; 4; 1; 206; 1; 3; 0; 2; 0; 14; 1; 0; 0; 8; 0; 0; 1; 0; 1; 0; 0; 1; 24; 49
16E0604;Condeixa-a-Nova; 646; 1; 0; 2; 0; 0; 13; 0; 0; 0; 1; 0; 2; 0; 5; 0; 555; 3; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 12; 20; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 2; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 2; 0; 0; 0; 3; 0; 0; 0; 1; 1; 0; 0; 0; 2; 1
16I1408;Constância; 102; 10; 0; 2; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 3; 0; 10; 6; 0; 0; 2; 0; 1; 0; 1; 0; 0; 0; 0; 0; 3; 30; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 2; 0; 3; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1851409;Coruche; 438; 1; 0; 52; 1; 0; 4; 1; 2; 3; 0; 1; 3; 4; 2; 0; 22; 4; 0; 0; 59; 0; 3; 0; 1; 1; 0; 0; 1; 0; 10; 155; 0; 0; 0; 0; 0; 0; 0; 1; 10; 0; 0; 0; 3; 0; 0; 4; 0; 4; 0; 6; 0; 67; 0; 0; 4; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
2004901;Corvo; 8; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16J0503;Covilhã;1 902; 1; 1; 21; 3; 1; 28; 0; 0; 3; 13; 3; 1; 6; 196; 0; 84;1 159; 1; 0; 9; 0; 3; 0; 1; 71; 1; 0; 18; 0; 7; 153; 0; 0; 1; 0; 1; 0; 0; 0; 4; 1; 0; 2; 2; 0; 0; 10; 0; 45; 1; 0; 0; 3; 0; 6; 3; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 9; 26
1861206;Crato; 68; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 4; 0; 4; 4; 1; 0; 6; 0; 2; 0; 0; 0; 0; 0; 0; 0; 2; 14; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 22; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
1840207;Cuba; 167; 0; 0; 2; 0; 0; 0; 0; 0; 89; 0; 0; 0; 1; 1; 0; 5; 2; 1; 0; 17; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 30; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 3; 1; 0; 0; 0; 0; 0; 0; 1; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
9999999;Desconhecido;2 631; 2; 5; 366; 0; 0; 38; 2; 0; 0; 203; 0; 1; 0; 1; 4; 2; 6; 0; 0; 106; 0; 1; 0; 0; 0; 0; 0; 1; 0; 4;1 257; 0; 0; 0; 0; 64; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 151; 0; 102; 0; 197; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 117; 0
1861207;Elvas; 623; 0; 0; 23; 0; 0; 1; 0; 1; 12; 4; 0; 1; 3; 20; 0; 19; 13; 79; 0; 112; 0; 19; 0; 0; 2; 0; 0; 3; 0; 4; 154; 0; 0; 0; 0; 0; 0; 1; 1; 15; 0; 0; 0; 2; 0; 0; 117; 1; 1; 0; 3; 0; 5; 0; 0; 3; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
16I1410;Entroncamento; 804; 15; 0; 28; 0; 1; 34; 0; 0; 4; 3; 0; 0; 5; 20; 1; 83; 21; 0; 0; 19; 0; 13; 0; 0; 3; 0; 0; 1; 0; 33; 278; 0; 0; 3; 0; 0; 0; 0; 0; 10; 0; 3; 0; 3; 1; 0; 7; 2; 19; 0; 3; 0; 44; 0; 0; 0; 0; 7; 116; 18; 0; 0; 0; 0; 0; 0; 1; 3; 2
11A0107;Espinho;1 133; 1; 6; 1; 1; 0; 189; 2; 0; 0; 25; 1; 1; 1; 8; 0; 44; 13; 0; 31; 2; 0; 1; 0; 0; 5; 0; 0; 0; 0; 5; 37; 0; 0; 31; 0; 30; 0; 2; 0; 4; 11; 0; 6; 1; 0; 2; 0; 0; 601; 0; 0; 12; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 4; 0; 1; 34; 13; 5
1120306;Esposende;1 368; 0; 1; 2; 0; 0; 37; 165; 0; 2; 206; 46; 2; 0; 0; 0; 195; 20; 0; 0; 2; 0; 4; 2; 0; 5; 0; 0; 0; 1; 7; 43; 0; 0; 18; 0; 17; 1; 5; 0; 1; 0; 1; 12; 1; 0; 16; 1; 0; 342; 0; 0; 0; 3; 0; 1; 1; 0; 1; 5; 0; 0; 5; 125; 27; 3; 16; 1; 9; 16
16D0108;Estarreja; 740; 0; 37; 1; 0; 1; 258; 1; 0; 2; 13; 5; 0; 2; 8; 0; 84; 26; 0; 0; 4; 0; 3; 0; 0; 24; 0; 0; 0; 1; 7; 41; 0; 0; 8; 0; 3; 0; 1; 0; 1; 24; 2; 5; 0; 0; 1; 0; 0; 122; 0; 0; 5; 0; 0; 4; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 13; 7; 24
1870704;Estremoz; 341; 0; 0; 17; 0; 0; 2; 0; 0; 13; 0; 0; 0; 1; 12; 0; 8; 3; 9; 0; 83; 0; 16; 0; 0; 0; 0; 0; 0; 0; 2; 129; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 30; 0; 3; 0; 0; 0; 0; 0; 0; 6; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
1870705;Évora;2 217; 1; 0; 94; 1; 0; 5; 0; 1; 41; 2; 0; 1; 7; 9; 0; 37; 14; 10; 0;1 378; 0; 23; 0; 0; 1; 0; 0; 1; 0; 5; 501; 2; 0; 0; 0; 1; 0; 0; 10; 15; 0; 1; 0; 2; 0; 0; 20; 5; 10; 0; 3; 0; 1; 0; 1; 9; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2
1190307;Fafe;1 597; 0; 1; 6; 0; 0; 31; 13; 0; 0; 402; 113; 1; 0; 4; 3; 271; 47; 1; 0; 2; 97; 7; 77; 0; 8; 3; 0; 0; 3; 6; 49; 0; 0; 15; 0; 17; 0; 16; 0; 1; 0; 1; 16; 0; 0; 1; 0; 0; 257; 8; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 23; 21; 0; 20; 3; 42; 9
1500805;Faro;2 887; 2; 0; 58; 0; 1; 8; 0; 0; 26; 4; 1; 3; 11; 3; 0; 46; 9; 2; 0; 68; 1;2 002; 0; 0; 2; 0; 0; 0; 0; 3; 496; 32; 0; 0; 0; 0; 0; 2; 0; 11; 1; 0; 0; 1; 0; 0; 5; 22; 32; 0; 2; 0; 2; 1; 0; 9; 11; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6
11C1303;Felgueiras;1 628; 2; 1; 3; 0; 2; 45; 11; 0; 0; 191; 84; 3; 0; 8; 3; 98; 24; 0; 0; 1; 23; 4; 319; 0; 7; 3; 0; 2; 2; 5; 42; 0; 0; 26; 0; 39; 0; 8; 1; 0; 0; 0; 55; 0; 0; 1; 2; 1; 409; 3; 0; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 2; 9; 11; 0; 18; 2; 145; 10
